Generation;BestFitness;AverageFitnessPopulation;BestNumberOfWheels;BestCarMass;BestRoadCompleted;BestDistance;BestEllapsedTime;BestSumVelocities;BestSumAccelerations;BestSumForces
1;1987,75512695313;428,350457534194;9;386,2598;False;1987,755;43,05077;631,6996;-17,65343;107474,7
2;1987,77416992188;627,248093445599;10;347,4688;False;1987,774;51,58662;635,7945;23,35759;751300
3;2280;813,409655889869;10;404,3221;True;2280;47,08176;704,1406;244,7692;4408591
4;1819,18872070313;502,85669381693;10;286,0925;False;1819,189;40,63892;581,9787;35,56145;224244
5;1987,89721679688;531,644157956541;9;348,7644;False;1987,897;62,27887;641,6674;36,26811;443611,7
6;2280;408,973157262802;9;308,8979;True;2280;67,65918;726,9324;124,2065;3080216
7;2280;488,892427231371;9;308,8979;True;2280;43,23572;717,8054;229,0173;4961822
8;2280;798,860100996494;9;308,8979;True;2280;42,27832;732,2663;318,892;1,101594E+07
9;1906,349609375;736,591784960032;9;360,7147;False;1906,35;49,61023;612,3491;-34,19817;53631,25
10;2073,32080078125;787,168458986282;9;447,7521;False;2073,321;53,45813;663,9447;21,9353;397326,6
11;2280;627,449631968141;9;308,8979;True;2280;45,70538;727,4644;124,9638;7852727
12;1494,50463867188;302,480461555719;9;447,7521;False;1494,505;43,65015;475,5304;31,36682;151001
13;1983,68774414063;724,577079856396;9;334,1319;False;1983,688;49,8949;628,1936;-16,43045;139407,2
14;2280;584,338967651129;9;334,1319;True;2280;45,54028;728,2483;334,7784;2656362
15;2074,7373046875;596,762277123332;9;334,1319;False;2074,737;52,90759;671,1558;28,50458;309400,1
16;2251,65307617188;406,664269529283;10;348,5836;False;2251,653;50,62708;714,1886;102,5958;551124,7
17;2200,81811523438;508,06926112175;9;334,1319;False;2200,818;52,53076;702,4571;79,42218;257141,1
18;2280;535,371115379781;10;348,5836;True;2280;43,39954;707,5058;343,6037;1,630782E+07
19;2280;388,043148598075;10;348,5836;True;2280;44,96545;686,6139;244,705;8661194
20;2251,02465820313;461,877327132225;10;348,5836;False;2251,025;53,78503;715,0799;30,00316;756979,3
21;2248,52221679688;671,350272232294;9;347,1467;False;2248,522;52,98792;713,6575;15,33249;70767,1
